SiteID,StudyID,Age,Dist1,Dist2,PFCont,SFS,PFS
2,1,5,AR,N,No,0.0625,0.326086957
4,2,7.5,PL,N,Yes,0.181818182,0.361702128
6,3,1,SB,Y,Yes,0.296551724,0.533834586
8,4,3,SB,Y,,0.482758621,0.68
9,4,11.5,SB,Y,,0.555555556,0.68
11,5,2,PA,Y,No,0.033898305,0.08
12,5,5,UD,N,No,0.032258065,0.08
14,6,4,SB,Y,Yes,0.4,0.411764706
19,8,1,SB,Y,No,0,0.178571429
20,8,5,SB,Y,No,0.074626866,0.178571429
21,8,10,SB,Y,No,0.166666667,0.178571429
22,8,25,SB,Y,No,0.173333333,0.178571429
23,8,100,UD,N,No,0.204819277,0.178571429
25,9,5,PA,Y,No,0.202970297,0.416666667
26,9,30,PA,Y,Yes,0.34375,0.416666667
30,11,40,CC,Y,Yes,0.413793103,0.379310345
32,12,16.5,CC,Y,Yes,0.232,0.5
34,13,17.5,AR,N,,0.442857143,0.448
36,14,4.5,SB,Y,Yes,0.419354839,0.564814815
37,14,11,SB,Y,Yes,0.481012658,0.564814815
38,14,27.5,SB,Y,Yes,0.528571429,0.564814815
40,15,50,PL,N,No,0.238095238,0.235294118
42,16,5,PL,N,Yes,0.133333333,0.2
48,18,85,PA,Y,Yes,0.025,0.068965517
52,20,13,AR,N,Yes,0.181818182,0.220338983
54,21,7,SB,Y,No,0.164179104,0.241758242
56,22,10,AR,N,,0.388888889,0.388888889
57,22,30,AR,N,,0.388888889,0.388888889
61,24,20,SB,Y,Yes,0.203389831,0.214285714
63,25,50,AR,N,Yes,0.413043478,0.5
65,26,9,PA,Y,Yes,0.162962963,0.263157895
67,27,5,PL,N,Yes,0.125,0.170212766
68,27,15,PL,N,Yes,0.111111111,0.170212766
70,28,4,FI,Y,Yes,0.225806452,0.31372549
72,29,50,AR,N,,0.161016949,0.182692308
74,30,17.5,PA,Y,Yes,0.351351351,0.53968254
75,30,27.5,PA,Y,No,0.347826087,0.53968254
76,30,40,PA,Y,No,0.517857143,0.53968254
78,31,17.5,PA,Y,Yes,0.25,0.4
82,33,4,CC,Y,Yes,0.114285714,0.211538462
83,33,3.5,CC,Y,No,0.1875,0.211538462
84,33,5.5,CC,Y,No,0.125,0.211538462
86,34,14,AR,N,No,0.258064516,0.25
87,34,5,AR,N,No,0.258064516,0.25
