SiteID,StudyID,Age,Dist1,Dist2,PFCont,Prop SR,SF.SR,PF.SR
2,1,5,AR,N,No,0.695652174,32,46
4,2,7.5,PL,N,Yes,0.390070922,55,141
6,3,1,SB,Y,Yes,1.090225564,145,133
8,4,3,SB,Y,,1.16,58,50
9,4,11.5,SB,Y,,1.26,63,50
11,5,2,PA,Y,No,1.18,59,50
12,5,5,UD,N,No,1.24,62,50
14,6,4,SB,Y,Yes,1.078431373,55,51
19,8,1,SB,Y,No,0.55952381,47,84
20,8,5,SB,Y,No,0.797619048,67,84
21,8,10,SB,Y,No,0.785714286,66,84
22,8,25,SB,Y,No,0.892857143,75,84
23,8,100,UD,N,No,0.988095238,83,84
25,9,5,PA,Y,No,1.294871795,202,156
26,9,30,PA,Y,Yes,0.615384615,96,156
30,11,40,CC,Y,Yes,1,29,29
32,12,16.5,CC,Y,Yes,0.698324022,125,179
34,13,17.5,AR,N,,1.12,140,125
36,14,4.5,SB,Y,Yes,0.574074074,62,108
37,14,11,SB,Y,Yes,0.731481481,79,108
38,14,27.5,SB,Y,Yes,0.648148148,70,108
40,15,50,PL,N,No,1.235294118,21,17
42,16,5,PL,N,Yes,1,15,15
48,18,85,PA,Y,Yes,1.379310345,40,29
52,20,13,AR,N,Yes,1.305084746,77,59
54,21,7,SB,Y,No,0.736263736,67,91
56,22,10,AR,N,,1,18,18
57,22,30,AR,N,,1,18,18
61,24,20,SB,Y,Yes,0.702380952,59,84
63,25,50,AR,N,Yes,0.766666667,46,60
65,26,9,PA,Y,Yes,1.015037594,135,133
67,27,5,PL,N,Yes,0.680851064,32,47
68,27,15,PL,N,Yes,0.574468085,27,47
70,28,4,FI,Y,Yes,0.810457516,124,153
72,29,50,AR,N,,1.134615385,118,104
74,30,17.5,PA,Y,Yes,0.587301587,37,63
75,30,27.5,PA,Y,No,0.365079365,23,63
76,30,40,PA,Y,No,0.888888889,56,63
78,31,17.5,PA,Y,Yes,1.36,68,50
82,33,4,CC,Y,Yes,0.673076923,35,52
83,33,3.5,CC,Y,No,0.615384615,32,52
84,33,5.5,CC,Y,No,0.307692308,16,52
86,34,14,AR,N,No,0.96875,31,32
87,34,5,AR,N,No,0.96875,31,32
