SiteID,StudyID,Latitude,Longitude
1,1,6.4,80.45
2,1,6.4,80.45
3,2,-12.65,-73.73
4,2,-12.65,-73.73
5,3,-3.53,-65
6,3,-3.53,-65
7,4,-0.1,-70.13
8,4,-0.1,-70.13
9,4,-0.1,-70.13
10,5,19.5,-105.05
11,5,19.5,-105.05
12,5,19.5,-105.05
13,6,15.38,-90.06
14,6,15.38,-90.06
15,7,-2.33,-60
16,7,-2.33,-60
17,7,-2.33,-60
18,8,23.6,92.36
19,8,23.6,92.36
20,8,23.6,92.36
21,8,23.6,92.36
22,8,23.6,92.36
23,8,23.6,92.36
24,9,10.42,-84.02
25,9,10.42,-84.02
26,9,10.42,-84.02
27,10,0.88,-52.6
28,10,0.88,-52.6
29,11,-1.08,120.27
30,11,-1.08,120.27
31,12,-0.46,-52.7
32,12,-0.46,-52.7
33,13,0.1,-78.65
34,13,0.1,-78.65
35,14,-1.69,-61.58
36,14,-1.69,-61.58
37,14,-1.69,-61.58
38,14,-1.69,-61.58
39,15,0.24,6.6
40,15,0.24,6.6
41,16,1.61,7.4
42,16,1.61,7.4
47,18,-30.47,30.43
48,18,-30.47,30.43
49,19,-3.82,-70.27
50,19,-3.82,-70.27
51,20,0.5,32.92
52,20,0.5,32.92
53,21,-5.23,145.17
54,21,-5.23,145.17
55,22,10.17,118.92
56,22,10.17,118.92
57,22,10.17,118.92
58,23,-19.6,-42.55
59,23,-19.6,-42.55
60,24,-7.87,147.62
61,24,-7.87,147.62
62,25,-21.45,-48.38
63,25,-21.45,-48.38
64,26,8.79,-82.96
65,26,8.79,-82.96
66,27,8.65,77.37
67,27,8.65,77.37
68,27,8.65,77.37
69,28,-1.11,116.82
70,28,-1.11,116.82
71,29,0.25,34.87
72,29,0.25,34.87
73,30,0,-78.68
74,30,0,-78.68
75,30,0,-78.68
76,30,0,-78.68
77,31,-1.54,-80.7
78,31,-1.54,-80.7
81,33,-1.48,120.19
82,33,-1.48,120.19
83,33,-1.48,120.19
84,33,-1.48,120.19
85,34,-6.57,145.11
86,34,-6.57,145.11
87,34,-6.57,145.11
88,35,-2.5,-60
89,35,-2.5,-60
